symbol,0,2,4,6,8,10,12,14,16,18,20,22
WDR54,0.544490431,0.389961647,0.932268782,0.009568333,-0.395436623,-0.477260379,-1.557045732,1.888954298,-0.137604616,0.091214597,-0.774479796,1.142868327
CROT,0.197284998,0.247723001,-0.694946924,0.454180687,0.456764556,0.143554385,0.648690991,0.26354273,0.634377829,-0.231343849,0.146259341,0.197392752
ABCB4,-0.630855164,-0.993330328,0.348472174,0.327843622,-0.542320362,-0.63957155,-0.022892429,0.082992956,-0.754187887,-0.65106611,-0.399325851,-0.404240632
MLL5,0.181408906,1.103926576,1.027956493,1.047738307,0.590391689,-0.826864496,-1.234128185,0.277857457,-1.591520813,0.08540501,-0.394464611,-0.294978467
RHBDD2,-1.018043213,-0.278403597,-1.239892566,1.295624244,-0.58565452,2.01015705,0.558765953,1.100550892,-0.927899131,-0.815465835,-0.131875743,-1.607253932
SOX8,-0.842929093,-0.088602993,1.674613792,0.481038072,-0.681458296,0.464142236,0.375786829,0.086626714,0.234295212,-0.066165158,-1.278049,0.20424024
IBTK,0.477564315,0.834895986,0.822604507,0.962071857,0.629663853,-0.145628292,0.525996643,-0.39778346,0.165325388,0.188889467,0.248528852,0.215684104
ZNF195,0.31894904,1.173019901,0.34600919,1.145674088,-0.639026528,1.373642994,1.097835395,0.775458214,1.425781155,0.347071201,0.218420205,0.327951252
MYCBP2,0.646198921,1.288809739,0.566475867,1.864378286,-0.709157112,0.786382699,-0.210946256,1.843569859,0.156475822,-0.915917164,-1.270213955,-0.575685278
FBXL3,0.890313152,0.480361391,0.140716479,0.571607288,0.83659304,-0.808730081,-0.479372327,-0.613110914,-0.802350823,-0.866146401,-0.472500912,-0.271197697
ITGAL,-0.84584891,-1.009604077,0.084920262,0.048409623,-0.173128285,-0.752840046,0.92423816,-0.978152778,2.475766863,1.096830527,0.212544294,0.535305808
PDK2,-1.008056517,-1.121284694,-0.811519777,-0.978957317,-0.860604207,-1.590489487,-0.405042769,-1.88746612,-1.070681761,-0.417130154,-0.331048136,0.14143034
ITGA3,-0.270012418,0.256702188,1.150995907,0.315458106,-0.727570744,-2.309578033,-0.398985427,-1.680108416,-1.699618274,0.643707354,-0.679753509,-0.257469388
ZFX,1.041652562,1.330089912,0.345078335,1.90137053,-0.579502432,-1.004510216,-0.534886597,-0.516236276,0.465800792,-0.306712766,-0.224473735,0.607127339
LAMP2,-0.196381432,0.182084883,-0.012531241,0.09581568,0.342826705,0.846501652,-0.553312502,1.832603812,-0.715901893,-0.297729937,-0.026625923,-0.315886964
GGNBP2,-0.261216791,0.274523363,-0.809892521,0.116883842,0.23449225,-1.010313801,0.063430247,-1.955554517,-0.204647093,0.800564272,0.022288744,0.01523113
ITGA2B,-0.639676935,-0.639676935,-0.639676935,-0.639676935,0.632704761,-0.639676935,-0.639676935,0.416175104,-0.300695775,0.103812973,-0.639676935,-0.639676935
ASB4,-0.163225918,-0.239919851,-0.165610755,-0.259130449,0.071998761,2.995272521,-0.170808732,3.38896631,-0.258032465,-0.248209639,-0.333791911,-0.530499661
GDE1,0.250964461,1.064938938,0.151744633,-1.221814,-1.638266755,-1.707770432,-0.181027358,-0.437435743,-0.461825383,0.205026443,0.659452033,0.761866321
C19orf60,-0.382135609,-1.361830699,-1.113712301,-0.773674062,-0.749960151,2.114331575,0.844603934,2.595473928,0.451825824,0.437557641,-0.439355277,1.116897346
CRLF1,-0.364984141,-0.364984141,-0.254891842,-0.364984141,-0.272389815,3.453590699,-0.364984141,2.987250035,-0.364984141,-0.24982313,0.04324293,-0.364984141
OSBPL7,0.889180337,0.149203074,0.851854946,-0.122552262,-0.577467706,-1.691890809,0.446355708,-1.164338992,0.496153391,1.039190827,0.263749874,1.058055541
TMEM98,-0.521695016,-0.305212282,-1.043586648,0.134384424,0.452419108,-1.843602893,0.371259301,-1.718045376,1.470290275,0.221123347,0.926958691,0.630899146
YBX2,0.358896436,0.976096398,-0.652532407,-0.782313877,-2.148335117,-0.243708809,-0.094206209,-0.764600321,-0.624191517,-0.799932675,-0.471925756,0.10530962
MAP3K14,2.116898336,-1.192576892,-1.192576892,0.676830189,0.093635721,0.995827364,-1.192576892,-0.150448298,-0.495257295,-0.112253672,0.922091457,1.599960333
ABCC8,0.20432262,-0.270082913,-0.270082913,-0.270082913,-0.270082913,-0.270082913,0.00915253,-0.270082913,-0.270082913,-0.270082913,-0.025630876,-0.270082913
SYNRG,-0.002761578,1.74165124,0.861135162,0.946702784,-0.268131577,1.602794493,-0.256758253,1.70316856,-2.151318997,-0.088284959,-0.324441575,-0.197913695
CACNG3,-0.954601929,-0.441800115,-0.440943976,1.466166347,-0.095870528,-0.954601929,-0.954601929,-0.242586827,-0.954601929,2.784050134,1.487692805,-0.954601929
TMEM132A,0.372646287,-0.94856753,-0.711658321,1.286115318,-0.911729211,1.126341463,0.968521945,2.749518544,0.325102334,0.317532306,1.341433726,-0.726245554
AP2B1,0.301223508,1.017150686,0.247829084,0.651747431,-0.640512155,1.078420509,1.530100642,0.866288768,1.218225641,0.488477928,-0.023862257,1.193080522
ZNF263,0.131937751,-6.32E-05,0.455252913,-0.990033947,-1.646128534,2.779747389,0.384286643,-0.2303431,0.360640773,0.595834447,-0.915187574,-1.45087674
CX3CL1,1.576999048,0.084403606,0.01310417,-0.747981876,-0.608903623,-1.342870523,0.192147577,-1.926626608,0.433883947,-0.22539697,0.556619714,0.370397417
SPATA20,-1.246614205,-1.714657305,-1.446212367,-0.426925017,-0.791293748,1.31570758,-0.784465655,2.05108366,-0.212816553,-0.356165977,0.688827984,1.554758397
