symbol,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46
SAMD11,0.098438756,0,0.8370065,0.1716033,0.1493431,5.227619,0.0928269,10.774016,0.0168909,0.5292027,0.0562125,0.184004
C1orf170,0.730168,1.088989,1.797624,0.819994,1.154061,0.986477,0.391953,1.434189,1.217679,1.487519,0.657077,0.991539
VMAC,2.2116,1.97714,2.70139,1.9696,1.42146,2.0408,2.52505,3.87811,1.86589,1.96956,2.13223,1.89205
TMSB4XP8,1.133904,0.211832,0.404534,0.591374,0.855782,0.306662,0.565898,0.59607,0.614194,0.78437,0.099463,0.37801
C5orf52,0.607968,0.597419,0.362166,0.417634,0.611274,0.108352,0.941261,0.471106,0.244003,0.139101,1.19717,0
HAPLN4,1.35205,1.48738,2.30063,1.90769,0.965964,1.72503,1.04251,0.881749,1.79125,1.87653,1.93638,1.5068
WHAMMP3,1.385152,0.6617946,0.869317028,1.042733,0.679628,0.8160102,0.665416,0.9562395,0.741173,0.771967,0.92099,0.950926
ERC2,0.536652,0.148278,0.719304,0.473923,0.2225468,0.0897255,0.400566,0.16472932,0.4018166,0,0.29326,0
B3GALTL,1.85845,2.05394,2.34152,2.20375,1.87193,4.68851,1.82957,3.30427,1.73465,1.90231,1.59263,2.074123
SPRY4,13.008945,19.20406,18.338719,16.62505,14.726381,20.023759,18.413185,21.919811,17.57734,16.059371,17.254342,21.726889
ERAS,0,0,0,0,0,0,0,0,0,0,0,0
RP11-687M24.3,0.0391617,0.0604642,0.0403626,0.0578622,0.1877885,0.0373241,0.0588703,0.0569007,0.0516541,0.0588003,0.0690529,0.0597856
TRPV2,0.3059245,0,0.9159224,0,0,10.32044,0.513236,7.190458,0,0.0551009,0,0
RP11-723O4.6,0,0.0918323,0.156223,0.159661,0.11692,0.159216,0.0843596,0.0851417,0.0888324,0.0731987,0.0753683,0
C2orf88,6.600201,5.288755,9.50583,9.335382,8.511041604,4.7240061,10.346641,4.649206,7.936776,4.972189,8.6156,5.0732512
TMEM203,17.1978,19.2243,20.0125,18.0614,19.3212,23.873,22.071,20.3763,23.9462,18.9459,16.9947,22.4246
KBTBD12,0.0900581,0.141098154,0.0918086,0.215051,0.052489,0.0955589,0.0818793,0.0245669,0.0737496,0.056884041,0.0819082,0.1706032
THSD4,0.73647391,0.893814,0.971057747,1.010273021,0.984758,0.5117,0.837422113,0.568191,0.74573753,0.934934,0.645783,0.76467
DNAJB13,0.791111,0.689029,0.9074012,1.1982,0.5011621,0.579038,0.799972,1.1899118,0.5635557,1.012996,0.7208971,0.457937
GABRD,0.0523849,0,0,0,0.0472773,0.0274847,0.0691133,0.0393027,0.030003,0.0885995,0.0178721,0
TCEA1,30.075909,31.644252,32.858814,35.371079,33.742447,34.3364711,34.112888,32.4711234,35.671137,33.51582915,32.112151,36.203413
NHEJ1,14.1057547,12.8562352,14.797808,10.901813,13.949954,18.19820258,13.93385969,13.921838,13.28363,13.554882,13.18998,14.773144
FANCA,3.954931,3.49806987,3.5172,4.072620007,2.727424,5.84866,5.302221,4.388246,4.815178,4.26327,1.964357,3.32591
SECISBP2,27.273488,26.0957,32.601265,31.343479,26.949045,24.047834,25.341252,25.522797,22.696158,23.671361,25.762251,24.82303
OR52B6,0.0385395,0,0.041388,0.134498,0,0,0.382298,0,0,0,0.159026,0
C9orf153,0.191249,0.221449,0.408649,0.768567,0,1.43254,0.767218,0.1856577,1.15981,0.604009,0,0.17947
SSX7,0.59011,0.34184,0.294901,0.393245,0.24785,0.173456,0.108763,0.29014,0.119057,0.349171,0.281967,0.243838
ADH1A,0,0,0,0.0438713,0,0.0183679,0,0.0175374,0.0218896,0.3351094,0.0477744,0.0918866
RP11-527B17.2,0,0.982272,0.898796,0.393605,4.21899,1.43624,0.434719,1.75163,2.93343,0.456289,0,0.422522
SEMA4D,7.058754,9.0490432,8.7780402,7.8591147,6.8539771,7.3550553,8.2184845,5.990996,5.9326749,8.9970785,9.39853868,7.779579
LIN28B,0.00550712,0,0,0.0047375,0,1.45839,0,0.762715,0,0.0111386,0,0
FAM69C,0.24287,0.2921859,0.0354018,0.0234277,0,0.3913506,0.130334,0.0611096,0,0.109842,0.0673895,0.372898
DNAH17,1.99E-09,4.58E-06,0,1.53E-06,0,0,0.0111951,8.15E-07,4.79E-06,0.00887909,0,0
MCRS1,34.785679,32.90903856,36.81271,38.744647,35.7260154,59.7702058,46.15006015,47.83082084,43.483797,37.13527284,36.7316135,39.11457522
