"symbol","FKPM_CTL_ZT10","FKPM_CTL_ZT14","FKPM_CTL_ZT18","FKPM_CTL_ZT2","FKPM_CTL_ZT22","FKPM_CTL_ZT6"
"Vcam1",15135.26,15422.5,13029.455,16253.395,15691.36,15943.175
"Vcan",15036.65975,17666.03425,15898.4794975,14276.1625,17072.52763525,14348.50146175
"Vcl",36655.378,36805.8445,33114.835,34757.1235,33191.5955,33753.7915
"Vcp",330487,350614,311207,328464,337914,324154
"Vcpip1",125138,133678,125556,127126,132266,124923
"Vcsa2",26.3276,0,27.2803,0,36.2763,23.5794
"Vdac1",90405.7,95840.6,87347.3,96723.6,98820.1,88812.5
"Vdac1-ps11",52582.6,59459.2,52490.8,61767.8,55747.9,54725.1
"Vdac2",82720.55,84353.15,75450.4,80779.25,81202.9,81175.05
"Vdac3",180200,194529,155651,172425,177589,168466
"Vdr",341.173,659.621,580.971,363.619,579.374,601.54
"Vegfa",11986.540634,12425.816126,13794.810664,12742.468068,13414.47071,12701.521058
"Vegfb",8468.58,8091.06,8122.7,8873.14,8071.4,7448.91
"Vegfc",1315.3,910.775,957.808,890.38,1022.83,1226.93
"Vegfd",386.717,223.283,287.107,426.188,277.425,602.744
"Veph1",682.3465,722.038,335.131,789.9605,669.643,724.9125
"Vezf1",44704.6,47260.9,41956.8,44599.5,43211.2,40587
"Vezt",40222.8,42822,37729.9,38990.9,41277.9,40011.8
"Vgf",5635.56,5096.41,6842.29,7900.04,6861.99,5724.97
"Vgll3",1117.79,501.312,880.309,1041.74,925.063,1386.67
"Vgll4",14204.8,12398.6,12924,13609.2,11961.1,14356.1
"Vhl",46309.2,47535,43573.8,42117.9,46414.2,44043.2
"Vil1",159.971,175.671,29.5073,74.5235,22.21,118.142
"Vill",139.482,236.477,86.2948,144.003,36.2763,47.9277
"Vim",43262.5,44007.9,48414.1,47659.3,32473.1,35332.6
"Vip",12370.4,14391.7,11349.2,12303.1,14435.9,12790.3
"Vipas39",27376.2950235,28521.75,26609.299645,27176.385,27931.9391015,26275
"Vipr1",1118.05,1184.77,1253.63,1242.24,958.058,1046.84
"Vipr2",4092.46,3775.05,3950.09,3687.15,3311.74,3609.58
"Virma",58571.8,65420.1,55941.9,62116,63532.5,58711
"Vit",86.8273,39.4679,59.0145,96.4745,58.8265,142.402
"Vkorc1",10539.8,10747.4,10476.5,11539.6,10059.1,10108.9
"Vkorc1l1",6769.49853333333,5518.143,5552.6142,6571.48323333333,5570.76333333333,5609.12156666667
"Vldlr",75210.8,74629.1,68717.5,72026.9,72056.1,69734.6
